Title:		Opus Test      
CGB:		1
SGB:		0
license:	
romSize:	32768
romBanks:	0
ramSize:	0
ramBanks:	0
japanese:	1
romVersion:	1
ROM:		ROM
SCY: 00, LY: 53, address: 1940, tileNum: 0
SCY: 00, LY: 54, address: 1940, tileNum: 0
SCY: 00, LY: 55, address: 1940, tileNum: 0
SCY: 00, LY: 56, address: 1940, tileNum: 0
SCY: 00, LY: 57, address: 1940, tileNum: 0
SCY: 00, LY: 58, address: 1960, tileNum: 0
SCY: 00, LY: 59, address: 1960, tileNum: 0
SCY: 00, LY: 5a, address: 1960, tileNum: 0
SCY: 00, LY: 5b, address: 1960, tileNum: 0
SCY: 00, LY: 5c, address: 1960, tileNum: 0
SCY: 00, LY: 5d, address: 1960, tileNum: 0
SCY: 00, LY: 5e, address: 1960, tileNum: 0
SCY: 00, LY: 5f, address: 1960, tileNum: 0
SCY: 00, LY: 60, address: 1980, tileNum: 0
SCY: 00, LY: 61, address: 1980, tileNum: 0
SCY: 00, LY: 62, address: 1980, tileNum: 0
SCY: 00, LY: 63, address: 1980, tileNum: 0
SCY: 00, LY: 64, address: 1980, tileNum: 0
SCY: 00, LY: 65, address: 1980, tileNum: 0
SCY: 00, LY: 66, address: 1980, tileNum: 0
SCY: 00, LY: 67, address: 1980, tileNum: 0
SCY: 00, LY: 68, address: 19a0, tileNum: 0
SCY: 00, LY: 69, address: 19a0, tileNum: 0
SCY: 00, LY: 6a, address: 19a0, tileNum: 0
SCY: 00, LY: 6b, address: 19a0, tileNum: 0
SCY: 00, LY: 6c, address: 19a0, tileNum: 0
SCY: 00, LY: 6d, address: 19a0, tileNum: 0
SCY: 00, LY: 6e, address: 19a0, tileNum: 0
SCY: 00, LY: 6f, address: 19a0, tileNum: 0
SCY: 00, LY: 70, address: 19c0, tileNum: 0
SCY: 00, LY: 71, address: 19c0, tileNum: 0
SCY: 00, LY: 72, address: 19c0, tileNum: 0
SCY: 00, LY: 73, address: 19c0, tileNum: 0
SCY: 00, LY: 74, address: 19c0, tileNum: 0
SCY: 00, LY: 75, address: 19c0, tileNum: 0
SCY: 00, LY: 76, address: 19c0, tileNum: 0
SCY: 00, LY: 77, address: 19c0, tileNum: 0
SCY: 00, LY: 78, address: 19e0, tileNum: 0
SCY: 00, LY: 79, address: 19e0, tileNum: 0
SCY: 00, LY: 7a, address: 19e0, tileNum: 0
SCY: 00, LY: 7b, address: 19e0, tileNum: 0
SCY: 00, LY: 7c, address: 19e0, tileNum: 0
SCY: 00, LY: 7d, address: 19e0, tileNum: 0
SCY: 00, LY: 7e, address: 19e0, tileNum: 0
SCY: 00, LY: 7f, address: 19e0, tileNum: 0
